Id,actual,prediction,residual,absolute_error,absolute_percentage_error,Neighborhood,OverallQual,GrLivArea,YearBuilt
128,87000,87999.72201089491,-999.7220108949114,999.7220108949114,1.1491057596493235,OldTown,5,840,1930
1182,392500,341063.98413824034,51436.01586175966,51436.01586175966,13.104717417008832,Crawfor,8,1652,2008
389,191000,198372.25574452477,-7372.255744524766,7372.255744524766,3.8598197615312912,CollgCr,7,1479,1999
884,118500,121613.87232147824,-3113.8723214782367,3113.8723214782367,2.6277403556778367,SWISU,4,2230,1912
11,129500,127541.5791123358,1958.4208876641933,1958.4208876641933,1.5122941217484118,Sawyer,5,1040,1965
525,315750,297554.3833922888,18195.616607711185,18195.616607711185,5.76266559230758,NoRidge,7,2398,1996
148,222500,219482.70863241382,3017.2913675861782,3017.2913675861782,1.3560860079039003,Gilbert,7,2035,2001
1274,177000,171132.58979012165,5867.410209878348,5867.410209878348,3.31492102253014,Edwards,6,1357,1959
2,181500,198955.63540312435,-17455.635403124354,17455.635403124354,9.617429974173197,Veenker,6,1262,1976
1108,274725,223988.3904556566,50736.6095443434,50736.6095443434,18.468144342285342,Gilbert,7,2021,2006
898,142953,134044.2000535553,8908.799946444691,8908.799946444691,6.231978305068583,SawyerW,5,2240,1979
330,78000,95313.9305005073,-17313.930500507297,17313.930500507297,22.197346795522176,IDOTRR,5,1192,1920
690,194700,184682.44818366322,10017.551816336781,10017.551816336781,5.145121631400504,NridgHt,6,1362,2005
1457,210000,197815.54372556173,12184.456274438271,12184.456274438271,5.802122035446796,NWAmes,6,2073,1978
872,200500,186771.2918394517,13728.708160548296,13728.708160548296,6.847235990298402,CollgCr,6,1682,1998
628,153000,166805.2998670124,-13805.299867012392,13805.299867012392,9.023071808504831,NAmes,6,1520,1955
829,185000,189111.82679392138,-4111.826793921384,4111.826793921384,2.2226090777953424,ClearCr,5,2126,1967
994,173900,175738.1150546598,-1838.1150546598074,1838.1150546598074,1.056995431086721,CollgCr,6,1500,2005
925,207500,199127.4983415351,8372.501658464898,8372.501658464898,4.034940558296336,NWAmes,6,1686,1980
1392,124000,132339.219046277,-8339.219046276994,8339.219046276994,6.725176650223383,NAmes,5,1584,1967
